'1', 'Radeon PRO W7800', '用于工作站', '82.62', 'RDNA 3.0', '2023', '3907 USD', '260 W'
'2', 'Radeon RX 7900 XTX', '桌面', '80.06', 'RDNA 3', '2022', '859 USD', '355 W'
'3', 'Radeon PRO W7900', '用于工作站', '79.40', 'RDNA 3.0', '2023', '4649 USD', '295 W'
'4', 'Radeon RX 7900 XT', '桌面', '74.44', 'RDNA 3', '2022', '884 USD', '315 W'
'5', 'Radeon RX 6950 XT', '桌面', '73.58', 'Navi / RDNA2', '2022', '961 USD', '335 W'
'6', 'Radeon RX 7900 GRE', '桌面', '72.18', 'RDNA 3', '2023', '−', '260 W'
'7', 'Radeon RX 6900 XT', '桌面', '69.28', 'Navi / RDNA2', '2020', '957 USD', '300 W'
'8', 'RTX 6000 Ada Generation', '桌面', '64.75', 'Ada Lovelace', '2022', '−', '300 W'
'9', 'Radeon RX 6800 XT', '桌面', '64.65', 'Navi / RDNA2', '2020', '696 USD', '300 W'
'10', 'Radeon RX 7800 XT', '桌面', '63.02', 'RDNA 3', '2023', '−', '300 W'
'11', 'Radeon RX 6800', '桌面', '57.48', 'Navi / RDNA2', '2020', '781 USD', '250 W'
'12', 'Radeon RX 7700 XT', '桌面', '56.68', 'RDNA 3', '2023', '−', '245 W'
'13', 'RTX 4000 SFF Ada Generation', '桌面', '54.75', 'Ada Lovelace', '2023', '−', '70 W'
'14', 'Radeon RX 6750 XT', '桌面', '54.13', 'Navi / RDNA2', '2022', '559 USD', '250 W'
'15', 'Radeon RX 6700 XT', '桌面', '51.09', 'Navi / RDNA2', '2021', '685 USD', '230 W'
'16', 'Radeon Pro W6800', '用于工作站', '50.77', 'Navi / RDNA2', '2021', '1990 USD', '250 W'
'17', 'Radeon PRO W7600', '用于工作站', '50.35', 'RDNA 3.0', '2023', '−', '130 W'
'18', 'RTX 5000 Ada Generation Mobile', '用于笔记本电脑', '49.96', 'Ada Lovelace', '2023', '−', '150 W'
'19', 'Radeon RX 6700', '桌面', '48.22', 'RDNA 2.0', '2021', '551 USD', '175 W'
'20', 'Radeon RX 6850M XT', '用于笔记本电脑', '46.87', 'RDNA 2', '2022', '−', '145 W'
