排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'1', 'GeForce RTX 4090', '桌面', '100.00', 'Ada Lovelace', '2022', '1756 USD', '450 W'
'2', 'GeForce RTX 4080', '桌面', '89.44', 'Ada Lovelace', '2022', '1451 USD', '320 W'
'3', 'Radeon PRO W7800', '用于工作站', '82.62', 'RDNA 3.0', '2023', '3907 USD', '260 W'
'4', 'GeForce RTX 4070 Ti', '桌面', '81.31', 'Ada Lovelace', '2023', '837 USD', '285 W'
'5', 'Radeon RX 7900 XTX', '桌面', '80.06', 'RDNA 3', '2022', '859 USD', '355 W'
'6', 'Radeon PRO W7900', '用于工作站', '79.40', 'RDNA 3.0', '2023', '4649 USD', '295 W'
'7', 'GeForce RTX 3090 Ti', '桌面', '76.68', 'Ampere', '2022', '1251 USD', '450 W'
'8', 'Radeon RX 7900 XT', '桌面', '74.44', 'RDNA 3', '2022', '884 USD', '315 W'
'9', 'Radeon RX 6950 XT', '桌面', '73.58', 'Navi / RDNA2', '2022', '961 USD', '335 W'
'10', 'Radeon RX 7900 GRE', '桌面', '72.18', 'RDNA 3', '2023', '−', '260 W'
'11', 'GeForce RTX 3080 Ti', '桌面', '70.27', 'Ampere', '2020', '1135 USD', '350 W'
'12', 'Radeon RX 6900 XT', '桌面', '69.28', 'Navi / RDNA2', '2020', '957 USD', '300 W'
'13', 'GeForce RTX 3090', '桌面', '69.16', 'Ampere', '2020', '1198 USD', '350 W'
'14', 'GeForce RTX 4070', '桌面', '68.99', 'Ada Lovelace', '2023', '791 USD', '200 W'
'15', 'GeForce RTX 3080 12 GB', '桌面', '68.75', 'Ampere', '2022', '1053 USD', '350 W'
'16', 'GeForce RTX 3080', '桌面', '65.20', 'Ampere', '2020', '823 USD', '320 W'
'17', 'RTX 6000 Ada Generation', '桌面', '64.75', 'Ada Lovelace', '2022', '−', '300 W'
'18', 'Radeon RX 6800 XT', '桌面', '64.65', 'Navi / RDNA2', '2020', '696 USD', '300 W'
'19', 'Radeon RX 7800 XT', '桌面', '63.02', 'RDNA 3', '2023', '−', '300 W'
'20', 'GeForce RTX 3070 Ti', '桌面', '61.08', 'Ampere', '2021', '757 USD', '290 W'
'21', 'RTX A5000', '用于工作站', '59.37', 'Ampere', '2021', '3327 USD', '230 W'
'22', 'GeForce RTX 3070', '桌面', '57.77', 'Ampere', '2020', '662 USD', '220 W'
'23', 'GeForce RTX 4060 Ti', '桌面', '57.76', 'Ada Lovelace', '2023', '461 USD', '160 W'
'24', 'Radeon RX 6800', '桌面', '57.48', 'Navi / RDNA2', '2020', '781 USD', '250 W'
'25', 'Radeon RX 7700 XT', '桌面', '56.68', 'RDNA 3', '2023', '−', '245 W'
'26', 'GeForce RTX 2080 Ti', '桌面', '56.18', 'Turing', '2018', '297 USD', '270 W'
'27', 'RTX A4500', '用于工作站', '55.99', 'Ampere', '2021', '2591 USD', '200 W'
'28', 'RTX 4000 SFF Ada Generation', '桌面', '54.75', 'Ada Lovelace', '2023', '−', '70 W'
'29', 'Radeon RX 6750 XT', '桌面', '54.13', 'Navi / RDNA2', '2022', '559 USD', '250 W'
'30', 'GeForce RTX 4090 Mobile', '用于笔记本电脑', '53.65', 'Ada Lovelace', '2023', '−', '150 W'
'31', 'RTX A5500', '桌面', '53.45', 'Ampere', '2022', '3965 USD', '230 W'
'32', 'Quadro GV100', '用于工作站', '52.94', 'Volta', '2018', '5183 USD', '250 W'
'33', 'GeForce RTX 3060 Ti', '桌面', '52.93', 'Ampere', '2020', '361 USD', '220 W'
'34', 'GeForce RTX 4080 Mobile', '用于笔记本电脑', '52.00', 'Ada Lovelace', '2023', '−', '150 W'
'35', 'GeForce RTX 4060 Ti 8G', '桌面', '51.35', 'Ada Lovelace', '2023', '424 USD', '160 W'
'36', 'Radeon RX 6700 XT', '桌面', '51.09', 'Navi / RDNA2', '2021', '685 USD', '230 W'
'37', 'Radeon Pro W6800', '用于工作站', '50.77', 'Navi / RDNA2', '2021', '1990 USD', '250 W'
'38', 'GeForce RTX 2080 Super', '桌面', '50.37', 'Turing', '2019', '599 USD', '250 W'
'39', 'Radeon PRO W7600', '用于工作站', '50.35', 'RDNA 3.0', '2023', '−', '130 W'
'40', 'GeForce RTX 4060', '桌面', '50.07', 'Ada Lovelace', '2023', '340 USD', '115 W'
'41', 'RTX 5000 Ada Generation Mobile', '用于笔记本电脑', '49.96', 'Ada Lovelace', '2023', '−', '150 W'
'42', 'TITAN Xp', '桌面', '49.92', 'Pascal', '2017', '174 USD', '250 W'
'43', 'Quadro RTX 8000', '用于工作站', '49.87', 'Turing', '2018', '3230 USD', '260 W'
'44', 'RTX A4000', '用于工作站', '49.59', 'Ampere', '2021', '1112 USD', '140 W'
'45', 'Quadro RTX 6000', '用于工作站', '49.43', 'Turing', '2018', '3083 USD', '260 W'
'46', 'GeForce RTX 4060 Ti 16G', '桌面', '49.03', 'Ada Lovelace', '−', '−', '−'
'47', 'TITAN RTX', '桌面', '48.47', 'Turing', '2018', '1035 USD', '280 W'
'48', 'GeForce RTX 2080', '桌面', '48.33', 'Turing', '2018', '426 USD', '215 W'
'49', 'Radeon RX 6700', '桌面', '48.22', 'RDNA 2.0', '2021', '551 USD', '175 W'
'50', 'A10G', '桌面', '48.12', 'Ampere', '2021', '216 USD', '150 W'
'51', 'GeForce GTX 1080 Ti', '桌面', '47.64', 'Pascal', '2017', '321 USD', '250 W'
'52', 'GeForce RTX 2070 Super', '桌面', '46.94', 'Turing', '2019', '261 USD', '215 W'
'53', 'Radeon RX 6850M XT', '用于笔记本电脑', '46.87', 'RDNA 2', '2022', '−', '145 W'
'54', 'GeForce RTX 3080 Ti Mobile', '用于笔记本电脑', '46.51', 'Ampere', '2022', '−', '150 W'
'55', 'GeForce RTX 4070 Mobile', '用于笔记本电脑', '46.02', 'Ada Lovelace', '2023', '−', '115 W'
'56', 'Radeon Pro W5700X', '用于工作站', '45.21', 'RDNA 1.0', '2019', '−', '205 W'
'57', 'Radeon RX 6650 XT', '桌面', '45.01', 'Navi / RDNA2', '2022', '465 USD', '176 W'
'58', 'Radeon RX 7700S', '用于笔记本电脑', '44.93', 'RDNA 3', '2023', '−', '100 W'
'59', 'TITAN V', '桌面', '44.02', 'Volta', '2017', '228 USD', '250 W'
'60', 'GeForce RTX 3060', '桌面', '44.00', 'Ampere', '2021', '317 USD', '170 W'
'61', 'TITAN V CEO Edition', '桌面', '43.66', 'Volta', '2018', '1630 USD', '250 W'
'62', 'Radeon RX 5700 XT', '桌面', '43.28', 'Navi / RDNA', '2019', '111 USD', '225 W'
'63', 'Radeon VII', '桌面', '43.09', 'Vega', '2019', '160 USD', '295 W'
'64', 'Radeon RX 5700 XT 50th Anniversary', '桌面', '42.77', 'RDNA 1.0', '2019', '409 USD', '225 W'
'65', 'GeForce RTX 2060 Super', '桌面', '42.63', 'Turing', '2019', '374 USD', '175 W'
'66', 'Quadro RTX A6000', '用于工作站', '42.42', 'Ampere', '2020', '8932 USD', '300 W'
'67', 'Radeon RX 7600', '桌面', '42.41', 'RDNA 3.0', '2023', '352 USD', '165 W'
'68', 'GeForce RTX 3070 Ti Mobile', '用于笔记本电脑', '42.31', 'Ampere', '2022', '−', '125 W'
'69', 'Radeon RX 6600 XT', '桌面', '42.29', 'Navi / RDNA2', '2021', '283 USD', '160 W'
